Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,39,CHI,Mike Brown,DB,22,2009,1,1,7,56,51,116,0,0,0,0,0,0,0,0,0,0,0,510,20,7.0,Nebraska,College Stats,BrowMi99
2,40,DEN,Ian Gold,LB,22,2007,0,1,5,39,33,115,0,0,0,0,0,0,0,0,0,0,0,436,4,17.0,Michigan,College Stats,GoldIa00
2,41,ARI,Raynoch Thompson,LB,22,2004,0,0,4,19,19,64,0,0,0,0,0,0,0,0,0,0,0,253,,7.5,Tennessee,College Stats,ThomRa23
2,42,NYG,Cornelius Griffin,DT,23,2009,0,0,9,58,20,146,0,0,0,0,0,0,0,0,0,0,0,340,2,29.0,Alabama,,GrifCo20
2,43,SDG,Rogers Beckett,DB,23,2004,0,0,3,17,12,71,0,0,0,0,0,0,0,0,0,0,0,230,4,4.0,Marshall,College Stats,BeckRo20
2,44,GNB,Chad Clifton,T,24,2011,0,2,10,72,72,165,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,,ClifCh20
2,45,DEN,Kenoy Kennedy,DB,22,2007,0,0,7,34,22,115,0,0,0,0,0,0,0,0,0,0,0,408,10,6.0,Arkansas,College Stats,KennKe21
2,46,NWE,Adrian Klemm,G,23,2005,0,0,0,10,6,42,0,0,0,0,0,0,0,0,0,0,0,,,,Hawaii,,KlemAd20
2,47,OAK,Jerry Porter,WR,22,2008,0,0,4,33,32,115,0,0,0,0,0,9,17,0,295,4120,31,7,,,West Virginia,College Stats,PortJe00
2,48,SFO,Jason Webster,DB,22,2008,0,0,5,26,17,90,0,0,0,0,0,0,0,0,0,0,0,351,11,0.5,Texas A&M,College Stats,WebsJa20
2,49,DAL,Dwayne Goodrich,DB,22,2002,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,8,,,Tennessee,College Stats,GoodDw20
2,50,DET,Barrett Green,LB,22,2005,0,0,4,20,16,65,0,0,0,0,0,0,0,0,0,0,0,200,,5.0,West Virginia,College Stats,GreeBa20
2,51,TAM,Cosey Coleman,G,21,2006,0,0,6,35,27,100,0,0,0,0,0,0,0,0,1,5,0,,,,Tennessee,College Stats,ColeCo21
2,52,SEA,Ike Charlton,DB,22,2003,0,0,0,5,3,53,0,0,0,0,0,0,0,0,0,0,0,83,2,2.0,Virginia Tech,College Stats,CharIk20
2,53,MIA,Todd Wade,T,23,2007,0,0,7,41,30,99,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,,WadeTo20
2,54,KAN,William Bartee,DB,23,2005,0,0,2,13,13,87,0,0,0,0,0,0,0,0,0,0,0,212,,3.5,Oklahoma,College Stats,BartWi20
2,55,MIN,Fred Robbins,DT,23,2011,0,0,10,51,9,180,0,0,0,0,0,0,0,0,0,0,0,272,3,35.5,Wake Forest,,RobbFr20
2,56,MIN,Michael Boireau,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),,-9999
2,57,CAR,Deon Grant,DB,21,2011,0,0,10,56,22,176,0,0,0,0,0,0,0,0,0,0,0,624,30,6.5,Tennessee,College Stats,GranDe21
2,58,BUF,Travares Tillman,DB,22,2007,0,0,1,13,5,74,0,0,0,0,0,0,0,0,0,0,0,127,4,,Georgia Tech,College Stats,TillTr20
2,59,IND,Marcus Washington,LB,22,2008,0,1,8,53,17,131,0,0,0,0,0,0,0,0,0,0,0,471,3,37.5,Auburn,,WashMa99
2,60,JAX,Brad Meester,C,23,2013,0,0,14,74,74,209,0,0,0,0,0,0,0,0,1,9,0,,,,Northern Iowa,,MeesBr20
2,61,PHI,Bobbie Williams,G,23,2012,0,0,9,55,6,163,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas,,WillBo21
2,62,STL,Jacoby Shepherd,DB,21,2003,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,27,1,,Oklahoma St.,College Stats,ShepJa20
3,63,CLE,Travis Prentice,RB,23,2001,0,0,1,4,4,30,0,0,0,0,0,187,525,9,38,201,1,5,,,Miami (OH),College Stats,PrenTr00
3,64,WAS,Lloyd Harrison,DB,23,2002,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,17,,1.0,North Carolina St.,College Stats,HarrLl20
3,65,SFO,Giovanni Carmazzi,QB,,,0,0,0,,,,,,,,,,,,,,,,,,Hofstra,,-9999
3,66,CIN,Ron Dugans,WR,23,2002,0,0,0,6,6,46,0,0,0,0,0,0,0,0,89,797,3,26,,,Florida St.,College Stats,DugaRo00
3,67,ATL,Mark Simoneau,LB,23,2010,0,0,4,29,5,124,0,0,0,0,0,0,0,0,0,0,0,319,1,7.0,Kansas St.,College Stats,SimoMa20
3,68,TEN,Erron Kinney,TE,23,2005,0,0,6,15,15,83,0,0,0,0,0,0,0,0,178,1750,10,,,,Florida,College Stats,KinnEr00
3,69,CHI,Dez White,WR,21,2005,0,0,4,18,14,82,0,0,0,0,0,8,38,0,187,2149,11,2,,,Georgia Tech,College Stats,WhitDe00
3,70,DEN,Chris Cole,WR,22,2003,0,0,0,1,1,35,0,0,0,0,0,2,8,0,12,164,0,12,,,Texas A&M,College Stats,ColeCh00
3,71,ARI,Darwin Walker,DT,23,2008,0,0,5,38,0,109,0,0,0,0,0,0,0,0,0,0,0,167,1,28.5,Tennessee,,WalkDa21
3,72,PIT,Kendrick Clancy,DT,21,2009,0,0,3,24,6,109,0,0,0,0,0,0,0,0,0,0,0,126,1,5.5,Mississippi,,ClanKe20
3,73,NYG,Ron Dixon,WR,24,2002,0,0,0,6,6,37,0,0,0,0,0,3,13,0,36,696,4,5,,,Lambuth,,DixoRo00
3,74,GNB,Steve Warren,DT,22,2002,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,16,,1.0,Nebraska,,WarrSt20
3,75,BAL,Chris Redman,QB,23,2011,0,0,0,9,3,30,286,500,3179,21,14,33,25,0,0,0,0,,,,Louisville,College Stats,RedmCh00
3,76,NWE,J.R. Redmond,RB,22,2004,0,0,0,9,6,50,0,0,0,0,0,194,676,1,68,502,2,11,,,Arizona St.,College Stats,RedmJ.00
3,77,PIT,Hank Poteat,DB,23,2009,0,0,1,16,4,110,0,0,0,0,0,0,0,0,0,0,0,164,4,3.0,Pittsburgh,College Stats,PoteHa20
3,78,NYJ,Laveranues Coles,WR,22,2009,0,1,9,68,49,153,0,0,0,0,0,37,231,0,674,8609,49,5,,,Florida St.,College Stats,ColeLa00
3,79,CLE,JaJuan Dawson,WR,22,2002,0,0,0,5,3,30,0,0,0,0,0,0,0,0,52,664,2,2,,,Tulane,College Stats,DawsJa00
3,80,SEA,Darrell Jackson,WR,21,2008,0,0,7,55,51,123,0,0,0,0,0,6,18,0,499,7132,51,,,,Florida,College Stats,JackDa00
3,81,DET,Reuben Droughns,RB,22,2008,0,0,3,27,1,114,0,0,0,0,0,929,3602,19,123,989,6,41,,,Oregon,College Stats,DrouRe00
3,82,CAR,Leander Jordan,T,22,2005,0,0,1,9,2,37,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana (PA),,JordLe20
3,83,SDG,Damion McIntosh,T,23,2009,0,0,8,38,15,125,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,,McInDa20
3,84,MIA,Ben Kelly,DB,21,2002,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Colorado,College Stats,KellBe20
3,85,KAN,Greg Wesley,DB,22,2007,0,0,7,39,39,118,0,0,0,0,0,0,0,0,0,0,0,509,29,6.0,Ark-Pine Bluff,,WeslGr20
3,86,SFO,Jeff Ulbrich,LB,23,2009,0,0,4,31,31,120,0,0,0,0,0,0,0,0,0,0,0,366,2,5.5,Hawaii,College Stats,UlbrJe20
